movie_id	imdb	title	year	path	start	end
valentines_day	tt0817230	Valentine's Day	2010	/fake/path/for/movies.mp4		
abyss	tt0096754	The Abyss	1989	/fake/path/for/movies.mp4		
executive_decision	tt0116253	Executive Decision	1996	/fake/path/for/movies.mp4		
running.man_tt0093894	tt0093894	The Running Man	1987	/fake/path/for/movies.mp4		
because.i.said._tt0490084	tt0490084	Because I Said So	2007	/fake/path/for/movies.mp4		
beauty_and_the_beast	tt2771200	Beauty and the Beast	2017	/fake/path/for/movies.mp4		
endless.love_tt0082329	tt0082329	Endless Love	1981	/fake/path/for/movies.mp4		
stardust.memori_tt0081554	tt0081554	Stardust Memories	1980	/fake/path/for/movies.mp4		
amazing_spiderman	tt0948470	The Amazing Spider-Man	2012	/fake/path/for/movies.mp4		
2012m	tt1190080	2012	2009	/fake/path/for/movies.mp4		
ready_player_one	tt1677720	Ready Player One	2018	/fake/path/for/movies.mp4		
thelma_and_louise	tt0103074	Thelma & Louise	1991	/fake/path/for/movies.mp4		
married.to.the._tt0095593	tt0095593	Married to the Mob	1988	/fake/path/for/movies.mp4		
dr_dolittle_2_fs	tt0240462	Dr. Dolittle 2	2001	/fake/path/for/movies.mp4		
outsiders_tt0086066	tt0086066	The Outsiders	1983	/fake/path/for/movies.mp4		
omen_3	tt0082377	The Final Conflict	1981	/fake/path/for/movies.mp4		
herbie.fully.lo_tt0400497	tt0400497	Herbie Fully Loaded	2005	/fake/path/for/movies.mp4		
night_at_the_museum_battle_of_the_smithsonian	tt1078912	Night at the Museum: Battle of the Smithsonian	2009	/fake/path/for/movies.mp4		
national_treasure	tt0368891	National Treasure	2004	/fake/path/for/movies.mp4		
good_morning_vietnam	tt0093105	Good Morning, Vietnam	1988	/fake/path/for/movies.mp4		
robocop_tt1234721	tt1234721	RoboCop	2014	/fake/path/for/movies.mp4		
dawn.of.the.dea_tt0363547	tt0363547	Dawn of the Dead	2004	/fake/path/for/movies.mp4		
predator.2_tt0100403	tt0100403	Predator 2	1990	/fake/path/for/movies.mp4		
falling.down_tt0106856	tt0106856	Falling Down	1993	/fake/path/for/movies.mp4		
beethoven_tt0103786	tt0103786	Beethoven	1992	/fake/path/for/movies.mp4		
blade	tt0120611	Blade	1998	/fake/path/for/movies.mp4		
shakespeare_in_love	tt0138097	Shakespeare in Love	1999	/fake/path/for/movies.mp4		
heat_2013	tt2404463	The Heat	2013	/fake/path/for/movies.mp4		
year.of.the.dragon_tt0090350	tt0090350	Year of the Dragon	1985	/fake/path/for/movies.mp4		
star_trek_6	tt0102975	Star Trek VI: The Undiscovered Country	1991	/fake/path/for/movies.mp4		
breakdown_tt0118771	tt0118771	Breakdown	1997	/fake/path/for/movies.mp4		
escape.room_tt5886046	tt5886046	Escape Room	2019	/fake/path/for/movies.mp4		
public.enemies_tt1152836	tt1152836	Public Enemies	2009	/fake/path/for/movies.mp4		
nutty_professor	tt0117218	The Nutty Professor	1996	/fake/path/for/movies.mp4		
working_girl	tt0096463	Working Girl	1989	/fake/path/for/movies.mp4		
backdraft	tt0101393	Backdraft	1991	/fake/path/for/movies.mp4		
caddyshack	tt0080487	Caddyshack	1980	/fake/path/for/movies.mp4		
easter.sunday_tt11952606	tt11952606	Easter Sunday	2022	/fake/path/for/movies.mp4		
hairspray	tt0427327	Hairspray	2007	/fake/path/for/movies.mp4		
addams_family	tt0101272	The Addams Family	1991	/fake/path/for/movies.mp4		
madeas.witness._tt2215285	tt2215285	Madea's Witness Protection	2012	/fake/path/for/movies.mp4		
never.cry.wolf_tt0086005	tt0086005	Never Cry Wolf	1984	/fake/path/for/movies.mp4		
shanghai.noon_tt0184894	tt0184894	Shanghai Noon	2000	/fake/path/for/movies.mp4		
point_break	tt0102685	Point Break	1991	/fake/path/for/movies.mp4		
glory_tt0097441	tt0097441	Glory	1990	/fake/path/for/movies.mp4		
hand_tt0082497	tt0082497	The Hand	1981	/fake/path/for/movies.mp4		
